"","Chamber","Channel","Temp.TRT","Leaf.spp.","Beg.Date","Beg.Length.mm","beg.mass.mg","End.Date","End.Length.mm","end.mass.mg","Days.in.expt","igr","igr_norm"
"112","R033","3D",3,"Rhodo","12-Mar-19",9.172,7.32340437981567,"17-Apr-19",8.866,6.67390023152396,36,-0.00257974632437344,-0.000352260532203244
"113","R035","3D",3,"Rhodo","12-Mar-19",8.224,5.43289573766467,"17-Apr-19",8.57,6.08159410069243,36,0.00313318256682662,0.000576705815483479
"114","R036","3D",3,"Rhodo","12-Mar-19",7.986,5.01330620561331,"17-Apr-19",8.862,6.66566233019056,36,0.00791315845391572,0.00157843110501718
"115","R038","3D",3,"Rhodo","12-Mar-19",7.43,4.11476753494219,"17-Apr-19",7.675,4.49685059650051,36,0.00246652621925595,0.000599432701437069
"116","R040","3D",3,"Rhodo","12-Mar-19",8.335,5.63595555966477,"17-Apr-19",9.238,7.46854139033927,36,0.00782036135611336,0.00138758392846137
"117","R043","0A",0,"Rhodo","12-Mar-19",7.981,5.0047199552893,"17-Apr-19",8.679,6.29564829756662,36,0.00637436639143505,0.00127367094430493
"118","R044","0A",0,"Rhodo","12-Mar-19",8.592,6.12441954600609,"17-Apr-19",8.784,6.50631103086764,36,0.00168024027057841,0.000274350941825033
"119","R045","0A",0,"Rhodo","12-Mar-19",8.119,5.24514353388673,"17-Apr-19",8.187,5.36625705773246,36,0.000634112456633961,0.000120895158070931
"120","R046","0A",0,"Rhodo","12-Mar-19",7.555,4.30701775564676,"17-Apr-19",8.151,5.301919578377,36,0.00577286697255303,0.00134033971998013
"121","R047","0A",0,"Rhodo","12-Mar-19",8.608,6.15568520533072,"17-Apr-19",8.645,6.22837452690594,36,0.000326091936505926,0.0000529741085888433
"122","R048","0A",0,"Rhodo","12-Mar-19",7.67,4.48883696951505,"17-Apr-19",8.492,5.9312912709129,36,0.00774023056111305,0.00172432873229282
"123","R049","0A",0,"Rhodo","12-Mar-19",7.991,5.02190179880593,"17-Apr-19",8.319,5.60639365420404,36,0.00305830455808601,0.000608993301862891
"124","R050","0A",0,"Rhodo","12-Mar-19",7.558,4.31170036588048,"17-Apr-19",8.235,5.45280797808203,36,0.00652217662689479,0.00151266926582059
"125","R053","0D",0,"Rhodo","12-Mar-19",7.968,4.98243939813094,"17-Apr-19",8.256,5.49095073549917,36,0.00269949461962674,0.000541801797055354
"126","R054","0D",0,"Rhodo","12-Mar-19",7.429,4.11325194916204,"17-Apr-19",7.55,4.29922057963249,36,0.00122832782113305,0.000298626934677144
"127","R055","0D",0,"Rhodo","12-Mar-19",8.845,6.63072325012018,"17-Apr-19",10.268,9.97437564592168,36,0.0113418189772774,0.00171049500174387
"128","R056","0D",0,"Rhodo","12-Mar-19",7.955,4.96022189381596,"17-Apr-19",8.17,5.33581409722884,36,0.00202752756288543,0.000408757431882876
"129","R057","0D",0,"Rhodo","12-Mar-19",7.67,4.48883696951505,"17-Apr-19",8.393,5.74394616764938,36,0.00684868940021711,0.00152571578044123
"130","R060","0D",0,"Rhodo","12-Mar-19",7.15,3.70411582068383,"17-Apr-19",7.807,4.71170531311081,36,0.00668348109313984,0.00180433912347427
"131","R063","2B",2,"Rhodo","12-Mar-19",7.262,3.86509224015351,"17-Apr-19",7.856,4.79308750595925,36,0.00597747860528547,0.00154652935399235
"132","R064","2B",2,"Rhodo","12-Mar-19",8.099,5.20985528919657,"17-Apr-19",8.162,5.32152601261599,36,0.000589111858465984,0.000113076434135819
"133","R067","2B",2,"Rhodo","12-Mar-19",8.355,5.67304680387985,"17-Apr-19",9.064,7.08979175534644,36,0.00619248999760108,0.00109156335416905
"134","R068","2B",2,"Rhodo","12-Mar-19",7.867,4.81147867607967,"17-Apr-19",7.856,4.79308750595925,36,-0.000106379913757017,-0.0000221096093152996
"135","R069","2B",2,"Rhodo","12-Mar-19",8.087,5.18875486008712,"17-Apr-19",7.896,4.86017897811584,36,-0.00181718036211431,-0.000350215111546781
"136","R070","2B",2,"Rhodo","12-Mar-19",8.579,6.09909055099347,"17-Apr-19",8.569,6.07965201945166,36,-0.0000886724823841013,-0.0000145386400878501
"137","R075","3A",3,"Rhodo","12-Mar-19",7.827,4.74481572173785,"17-Apr-19",9.63,8.3682388829783,36,0.0157608571975647,0.00332170059320915
