trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT2,27-Mar-19,3-Apr-19,7,2,2C,R087,R,bug,2,1.7987,1.9871,0.4828,0.5396,1.0022,1.0566,1.0055,
CT2,27-Mar-19,3-Apr-19,7,2,2C,R088,R,bug,2,1.7146,1.9274,0.4858,0.5468,1.0101,1.0678,1.0142,
CT2,27-Mar-19,3-Apr-19,7,1,1A,R091,R,microbes,2,1.7596,2.0501,0.408,0.5112,1.0198,1.1179,1.0296,
CT2,27-Mar-19,3-Apr-19,7,1,1A,R092,R,microbes,2,1.6396,1.8452,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,1,1A,R097,R,bug,2,1.7239,2.0544,0.4057,0.4994,0.9983,1.0853,1.0044,
CT2,27-Mar-19,3-Apr-19,7,1,1A,R098,R,bug,2,1.7115,1.9783,0.4453,0.5301,0.9786,1.0588,0.9836,
CT2,27-Mar-19,3-Apr-19,7,4,4C,R101,R,microbes,2,1.8045,1.9742,0.428,0.4898,0.9862,1.0457,0.9906,
CT2,27-Mar-19,3-Apr-19,7,4,4C,R102,R,microbes,2,1.8033,2.097,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,4,4C,R107,R,bug,2,1.6712,1.985,0.4959,0.5735,0.9779,1.0551,0.9832,
CT2,27-Mar-19,3-Apr-19,7,4,4C,R108,R,bug,2,1.8093,2.1461,0.3995,0.5064,0.9771,1.0819,0.9856,
CT2,27-Mar-19,3-Apr-19,7,1,1B,R111,R,microbes,2,1.8223,2.1103,0.4705,0.5582,0.9935,1.0765,1.0009,
CT2,27-Mar-19,3-Apr-19,7,1,1B,R112,R,microbes,2,1.7162,1.9104,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,1,1B,R117,R,bug,2,1.7858,2.0211,0.5532,0.634,1.2386,1.3136,1.2461,
CT2,27-Mar-19,3-Apr-19,7,1,1B,R118,R,bug,2,1.6317,1.8722,0.4626,0.5396,0.9709,1.0404,0.9766,
CT2,27-Mar-19,3-Apr-19,7,1,1C,R121,R,microbes,2,1.739,1.8786,0.4324,0.4795,1.0078,1.0516,1.0123,
CT2,27-Mar-19,3-Apr-19,7,1,1C,R122,R,microbes,2,1.6623,1.904,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,1,1C,R127,R,bug,2,1.6898,2.0613,0.4349,0.5502,1.1257,1.2402,1.1332,
CT2,27-Mar-19,3-Apr-19,7,1,1C,R128,R,bug,2,1.718,2.0428,0.3764,0.4927,1.0732,1.1861,1.0833,
CT2,27-Mar-19,3-Apr-19,7,3,3B,R131,R,microbes,2,1.6756,1.7916,0.3439,0.3832,1.2331,1.2676,1.2371,
CT2,27-Mar-19,3-Apr-19,7,3,3B,R132,R,microbes,2,1.8445,1.9284,NA,NA,NA,NA,NA,
CT2,27-Mar-19,3-Apr-19,7,3,3B,R137,R,bug,2,1.7485,1.8726,0.4035,0.4448,1.0023,1.0414,1.0042,
CT2,27-Mar-19,3-Apr-19,7,3,3B,R138,R,bug,2,1.8137,2.0085,0.3559,0.4303,0.9805,1.0479,0.9851,
CT2,28-Mar-19,3-Apr-19,6,4,4B,R141,R,microbes,2,1.7666,2.0991,0.3351,0.4317,0.992,1.0877,0.998,
CT2,28-Mar-19,3-Apr-19,6,4,4B,R142,R,microbes,2,1.8387,2.2286,NA,NA,NA,NA,NA,
CT2,28-Mar-19,3-Apr-19,6,4,4B,R147,R,bug,2,1.7921,2.1552,0.3826,0.4743,1.0164,1.1041,1.0247,
CT2,28-Mar-19,3-Apr-19,6,4,4B,R148,R,bug,2,1.7308,2.1212,0.3147,0.4353,1.2489,1.3634,1.2564,
CT2,28-Mar-19,4-Apr-19,7,0,0B,R151,R,microbes,2,1.7944,2.0866,0.4502,0.5316,1.0052,1.0826,1.0118,
CT2,28-Mar-19,4-Apr-19,7,0,0B,R152,R,microbes,2,1.7641,2.096,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,0,0B,R157,R,bug,2,1.813,2.1388,0.3883,0.4839,0.9759,1.0694,0.9819,
CT2,28-Mar-19,4-Apr-19,7,0,0B,R158,R,bug,2,1.754,2.0817,0.5872,0.6915,1.0312,1.1271,1.0407,
CT2,28-Mar-19,4-Apr-19,7,3,3C,R161,R,microbes,2,1.8202,2.193,0.2691,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,3,3C,R162,R,microbes,2,1.719,1.9817,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,3,3C,R167,R,bug,2,1.8299,1.9653,0.3072,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,3,3C,R168,R,bug,2,1.6557,1.8477,0.3512,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,4,4A,R171,R,microbes,2,1.6951,1.9143,0.4742,0.5368,0.9738,1.0329,0.9795,
CT2,28-Mar-19,4-Apr-19,7,4,4A,R172,R,microbes,2,1.789,2.1213,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,4,4A,R177,R,bug,2,1.7272,1.935,0.4513,0.5224,0.97,1.0361,0.9739,
CT2,28-Mar-19,4-Apr-19,7,4,4A,R178,R,bug,2,1.825,1.981,0.4713,0.523,0.9913,1.0393,0.9947,
CT2,28-Mar-19,4-Apr-19,7,2,2D,R181,R,microbes,2,1.7457,1.9359,0.3296,0.389,0.9902,1.0462,0.9957,
CT2,28-Mar-19,4-Apr-19,7,2,2D,R182,R,microbes,2,1.7146,1.9568,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,2,2D,R187,R,bug,2,1.7523,2.015,0.3562,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,2,2D,R188,R,bug,2,1.7781,2.0545,0.3954,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,1,1D,R191,R,microbes,2,1.7134,2.1056,0.3686,0.4219,0.9887,1.036,0.9997,
CT2,28-Mar-19,4-Apr-19,7,1,1D,R192,R,microbes,2,1.7058,1.9314,NA,NA,NA,NA,NA,
CT2,28-Mar-19,4-Apr-19,7,1,1D,R197,R,bug,2,1.7602,1.932,0.3884,0.4478,1.2264,1.2809,1.2296,
CT2,28-Mar-19,4-Apr-19,7,1,1D,R198,R,bug,2,1.6929,1.9106,0.3676,0.4414,0.994,1.0646,0.9986,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
