trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.wt (g),boat+blotted wt (g),fp.wt (g),fp.PCLDM.wt (g),notes
CT1,12-Mar-19,21-Mar-19,9,1,1C,R121,R,microbes,2,1.7389,1.8978,0.4165,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1C,R122,R,microbes,2,1.6589,1.8353,0.4075,0.465,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1C,R123,R,bug,2,1.7799,2.1051,0.3822,0.4681,
CT1,12-Mar-19,21-Mar-19,9,1,1C,R124,R,bug,2,1.7627,2.0151,0.4497,0.5241,
CT1,12-Mar-19,21-Mar-19,9,1,1C,R125,R,bug,2,1.7484,2.1168,0.4908,0.5944,
CT1,12-Mar-19,21-Mar-19,9,1,1C,R126,R,bug,2,1.8478,2.1476,0.4501,0.5292,
CT1,12-Mar-19,21-Mar-19,9,1,1C,A121,A,microbes,3,1.8431,1.9283,0.3678,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1C,A122,A,microbes,3,1.8026,1.8754,0.3557,0.3859,Microbes
CT1,12-Mar-19,21-Mar-19,9,1,1C,A123,A,bug,3,1.6894,1.8627,0.4991,0.527,
CT1,12-Mar-19,21-Mar-19,9,1,1C,A124,A,bug,3,1.7814,1.8962,0.4216,0.4461,
CT1,12-Mar-19,21-Mar-19,9,1,1C,A125,A,bug,3,1.7045,1.8243,0.3682,0.3912,
CT1,12-Mar-19,21-Mar-19,9,1,1C,A126,A,bug,3,1.7183,1.8384,0.4092,0.4385,
CT1,12-Mar-19,21-Mar-19,9,3,3B,R131,R,microbes,2,1.6809,1.8691,0.4531,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,3,3B,R132,R,microbes,2,1.8442,2.0626,0.3827,0.4401,Microbes
CT1,12-Mar-19,21-Mar-19,9,3,3B,R133,R,bug,2,1.9147,2.1637,0.4362,0.5087,
CT1,12-Mar-19,21-Mar-19,9,3,3B,R134,R,bug,2,1.9876,2.1572,0.4049,0.4723,
CT1,12-Mar-19,21-Mar-19,9,3,3B,R135,R,bug,2,1.6956,1.8973,0.4025,0.4731,
CT1,12-Mar-19,21-Mar-19,9,3,3B,R136,R,bug,2,1.8371,2.1186,0.4098,0.4917,
CT1,12-Mar-19,21-Mar-19,9,3,3B,A131,A,microbes,3,1.8398,1.9208,0.4026,NA,Microbes
CT1,12-Mar-19,21-Mar-19,9,3,3B,A132,A,microbes,3,1.7995,1.7582,0.3446,0.3646,Microbes -- exclude?
CT1,12-Mar-19,21-Mar-19,9,3,3B,A133,A,bug,3,1.8375,2.0265,0.4377,0.4773,
CT1,12-Mar-19,21-Mar-19,9,3,3B,A134,A,bug,3,1.8139,1.9722,0.3501,0.3777,
CT1,12-Mar-19,21-Mar-19,9,3,3B,A135,A,bug,3,1.7435,1.8618,0.3601,0.3828,
