"","Beg.Date","End.Date","Days.in.expt","Temp.TRT","Channel","Chamber","Leaf.spp.","Beg.Length.mm","End.Length.mm","beg.mass.mg","end.mass.mg","BWP.end.","igr"
"108","12-Mar-19","17-Apr-19",36,0,"0C","R019","Rhodo",7.73,8.128,6.63403603305479,7.65570537593157,"N",0.00397882773776604
"109","12-Mar-19","17-Apr-19",36,0,"0C","R020","Rhodo",7.676,7.8,6.50267109730191,6.80687274333565,"N",0.00126999357734483
"110","12-Mar-19","17-Apr-19",36,3,"3D","R033","Rhodo",9.172,8.866,10.8071617938751,9.80999836407471,"N",-0.00268908157231911
"111","12-Mar-19","17-Apr-19",36,3,"3D","R035","Rhodo",8.224,8.57,7.916510988786,8.90422272966185,"N",0.00326597364382768
"112","12-Mar-19","17-Apr-19",36,3,"3D","R036","Rhodo",7.986,8.862,7.28026586704329,9.79737656040099,"N",0.00824853528279925
"113","12-Mar-19","17-Apr-19",36,3,"3D","R038","Rhodo",7.43,7.675,5.9256066030535,6.50025448950278,"N",0.00257106295342975
"114","12-Mar-19","17-Apr-19",36,3,"3D","R040","Rhodo",8.335,9.238,8.22518014725671,11.0305112995779,"N",0.00815180524259825
"115","12-Mar-19","17-Apr-19",36,0,"0A","R043","Rhodo",7.981,8.679,7.26726902750916,9.2311487847043,"N",0.0066445258731327
"116","12-Mar-19","17-Apr-19",36,0,"0A","R044","Rhodo",8.592,8.784,8.96959176902041,9.55335550278598,"N",0.00175145249980277
"117","12-Mar-19","17-Apr-19",36,0,"0A","R045","Rhodo",8.119,8.187,7.63154519582003,7.81531985440046,"N",0.000660987518734631
"118","12-Mar-19","17-Apr-19",36,0,"0A","R046","Rhodo",7.555,8.151,6.2144782025943,7.7176736149904,"N",0.00601753360346869
"119","12-Mar-19","17-Apr-19",36,0,"0A","R047","Rhodo",8.608,8.645,9.0173281194964,9.12834967682961,"N",0.000339912420479137
"120","12-Mar-19","17-Apr-19",36,0,"0A","R048","Rhodo",7.67,8.492,6.48818019989515,8.67495475854098,"N",0.00806827833060122
"121","12-Mar-19","17-Apr-19",36,0,"0A","R049","Rhodo",7.991,8.319,7.2932777936794,8.18021366642229,"N",0.00318792214257194
"122","12-Mar-19","17-Apr-19",36,0,"0A","R050","Rhodo",7.558,8.235,6.22152112645295,7.94675805380609,"N",0.00679860062715778
"123","12-Mar-19","17-Apr-19",36,0,"0D","R053","Rhodo",7.968,8.256,7.23354779453285,8.00471067388097,"N",0.00281390506021011
"124","12-Mar-19","17-Apr-19",36,0,"0D","R054","Rhodo",7.429,7.55,5.92333154953813,6.20275150708827,"N",0.00128038701998268
"125","12-Mar-19","17-Apr-19",36,0,"0D","R055","Rhodo",8.845,10.268,9.74385156879002,14.9132015903883,"N",0.0118225098802238
"126","12-Mar-19","17-Apr-19",36,0,"0D","R056","Rhodo",7.955,8.17,7.19992835424578,7.76910976222064,"N",0.00211345858126129
"127","12-Mar-19","17-Apr-19",36,0,"0D","R057","Rhodo",7.67,8.393,6.48818019989515,8.38952876556255,"N",0.00713895172043092
"128","12-Mar-19","17-Apr-19",36,0,"0D","R060","Rhodo",7.15,7.807,5.31051777952889,6.82431545039577,"N",0.00696674152675483
"129","12-Mar-19","17-Apr-19",36,2,"2B","R063","Rhodo",7.262,7.856,5.55130636384582,6.94722776521511,"N",0.00623081712125665
"130","12-Mar-19","17-Apr-19",36,2,"2B","R064","Rhodo",8.099,8.162,7.57803333185377,7.74742538822811,"N",0.000614079697553313
"131","12-Mar-19","17-Apr-19",36,2,"2B","R067","Rhodo",8.355,9.064,8.28161360638118,10.4480536897197,"N",0.00645494116300909
"132","12-Mar-19","17-Apr-19",36,2,"2B","R068","Rhodo",7.867,7.856,6.9750164366418,6.94722776521511,"N",-0.000110888525374053
"133","12-Mar-19","17-Apr-19",36,2,"2B","R069","Rhodo",8.087,7.896,7.54604351240921,7.04862327115653,"N",-0.00189419640961349
"134","12-Mar-19","17-Apr-19",36,2,"2B","R070","Rhodo",8.579,8.569,8.930927076352,8.90125878553726,"N",-0.000092430614629836
"135","12-Mar-19","17-Apr-19",36,3,"3A","R075","Rhodo",7.827,9.63,6.87431165214992,12.4190257366317,"Y",0.0164288365307462
"136","12-Mar-19","17-Apr-19",36,3,"3A","R077","Rhodo",7.832,7.678,6.88684775862948,6.50750606329648,"Y",-0.00157381058548107
"137","12-Mar-19","17-Apr-19",36,3,"3A","R078","Rhodo",8.192,8.397,7.82894494676847,8.4009410833728,"N",0.00195877714916373
"138","12-Mar-19","17-Apr-19",36,3,"3A","R079","Rhodo",8.012,8.263,7.34809281852252,8.02408902741543,"N",0.00244464851830143
"139","12-Mar-19","17-Apr-19",36,2,"2C","R084","Rhodo",7.165,7.19,5.34236471736893,5.39571812947259,"N",0.00027603650338601
"140","12-Mar-19","17-Apr-19",36,2,"2C","R085","Rhodo",8.419,9.305,8.46388908638452,11.2602894624506,"N",0.00792982107379096
"141","12-Mar-19","17-Apr-19",36,2,"2C","R086","Rhodo",8.061,9.448,7.47703342288861,11.7610587852221,"N",0.0125821627520426
"142","12-Mar-19","17-Apr-19",36,2,"2C","R087","Rhodo",8.356,9.6,8.28444186057569,12.3089655952202,"N",0.0109985729412731
"143","12-Mar-19","17-Apr-19",36,2,"2C","R088","Rhodo",7.733,8.043,6.64138417451364,7.42949816784208,"N",0.00311494203688141
"144","12-Mar-19","17-Apr-19",36,2,"2C","R089","Rhodo",7.801,10.317,6.80936278369068,15.1171411196361,"N",0.022153631343831
"145","12-Mar-19","17-Apr-19",36,2,"2C","R090","Rhodo",6.93,7.016,4.8575093841281,5.03147480940682,"N",0.000977425268044557
"146","12-Mar-19","17-Apr-19",36,1,"1A","R093","Rhodo",7.402,7.938,5.86211936500401,7.15611782760319,"N",0.00554045629145507
"147","12-Mar-19","17-Apr-19",36,1,"1A","R094","Rhodo",7.96,8.36,7.21284687075788,8.2957611505361,"N",0.00388558210879525
"148","12-Mar-19","17-Apr-19",36,1,"1A","R095","Rhodo",7.36,6.911,5.76771953905284,4.81961000847307,"N",-0.00498843781979856
"149","12-Mar-19","17-Apr-19",36,1,"1A","R097","Rhodo",8.527,8.99,8.77735104833285,10.2065303294677,"N",0.00419036346134661
"150","12-Mar-19","17-Apr-19",36,1,"1A","R098","Rhodo",7.191,7.685,5.39785943233258,6.52444683024612,"N",0.00526538052996352
"151","12-Mar-19","17-Apr-19",36,1,"1A","R099","Rhodo",7.504,7.766,6.09553965169401,6.72256287484292,"N",0.00271978230374001
"152","12-Mar-19","17-Apr-19",36,1,"1A","R100","Rhodo",8.411,9.392,8.44096358727889,11.5632667212925,"N",0.00874269279085615
"153","12-Mar-19","17-Apr-19",36,4,"4C","R103","Rhodo",7.312,7.649,5.66104958982909,6.43762726307876,"N",0.00357085333038949
"154","12-Mar-19","17-Apr-19",36,4,"4C","R105","Rhodo",7.893,7.848,7.04098548845893,6.92706305443492,"N",-0.000453117300708868
"155","12-Mar-19","17-Apr-19",36,4,"4C","R107","Rhodo",7.415,8.073,5.89154034674359,7.50883306647829,"N",0.00673784964722142
"156","12-Mar-19","17-Apr-19",36,1,"1B","R113","Rhodo",8.1,8.351,7.58070311855053,8.27030686086455,"N",0.00241849051654644
"157","12-Mar-19","17-Apr-19",36,1,"1B","R114","Rhodo",7.417,7.519,5.8960751452257,6.13036667825576,"N",0.00108243514558641
"158","12-Mar-19","17-Apr-19",36,1,"1B","R115","Rhodo",8.223,8.002,7.91376496963893,7.32195717858179,"Y",-0.00215905494763192
"159","12-Mar-19","17-Apr-19",36,1,"1B","R116","Rhodo",7.718,7.123,6.60469627461312,5.25350451871938,"N",-0.00635793254094741
"160","12-Mar-19","17-Apr-19",36,1,"1B","R117","Rhodo",8.053,9.23,7.45588233257709,11.0032804657751,"N",0.0108108376893322
"161","12-Mar-19","17-Apr-19",36,1,"1B","R118","Rhodo",7.683,8.337,6.51960369195358,8.23081221834729,"N",0.00647419747578105
"162","12-Mar-19","17-Apr-19",36,1,"1B","R120","Rhodo",8.171,8.257,7.77182307725619,8.00747714705086,"N",0.000829749483843154
"163","12-Mar-19","17-Apr-19",36,1,"1C","R123","Rhodo",7.592,7.255,6.30170352095666,5.53605351947679,"N",-0.00359828086648945
"164","12-Mar-19","17-Apr-19",36,1,"1C","R124","Rhodo",8.169,8.909,7.76639706250978,9.94635028195488,"N",0.00687220332576789
"165","12-Mar-19","17-Apr-19",36,1,"1C","R125","Rhodo",8.639,9.532,9.11028621468821,12.0618459639372,"N",0.00779564211588508
"166","12-Mar-19","17-Apr-19",36,1,"1C","R126","Rhodo",8.265,8.985,8.02963129054116,10.1903433281243,"N",0.00661949802528088
"167","12-Mar-19","17-Apr-19",36,1,"1C","R127","Rhodo",7.734,8.738,6.64383472918845,9.41131438168631,"N",0.00967286963452301
"168","12-Mar-19","17-Apr-19",36,1,"1C","R129","Rhodo",7.366,6.963,5.78114432334536,4.92379366656512,"N",-0.00445895386345026
"169","12-Mar-19","17-Apr-19",36,3,"3B","R134","Rhodo",9.099,9.134,10.5635685826752,10.6799097733209,"Y",0.000304256393019095
"170","12-Mar-19","17-Apr-19",36,3,"3B","R137","Rhodo",7.419,7.781,5.90061221014472,6.75967428289415,"N",0.00377551655362179
"171","12-Mar-19","17-Apr-19",36,3,"3B","R138","Rhodo",7.608,7.722,6.33966745389016,6.61446680991265,"N",0.00117869100346722
"172","12-Mar-19","17-Apr-19",36,3,"3B","R140","Rhodo",8.034,8.87,7.40580433328196,9.82263072402242,"N",0.0078451366354635
"173","12-Mar-19","17-Apr-19",36,4,"4B","R143","Rhodo",9.375,9.493,11.5036532242214,11.9215811911701,"N",0.00099126795867256
"174","12-Mar-19","17-Apr-19",36,4,"4B","R146","Rhodo",8.466,9.881,8.59939340521801,13.364991768719,"Y",0.012248529644792
"175","12-Mar-19","17-Apr-19",36,4,"4B","R147","Rhodo",9.036,8.846,10.3562348873077,9.74699482718948,"N",-0.00168415911840002
"176","13-Mar-19","17-Apr-19",35,0,"0B","R153","Rhodo",8.15,7.899,7.71497259424071,7.05626643295539,"N",-0.00254991016500302
"177","13-Mar-19","17-Apr-19",35,0,"0B","R154","Rhodo",8.842,8.815,9.73442574394098,9.64985970310359,"N",-0.000249293473376687
"178","13-Mar-19","17-Apr-19",35,0,"0B","R156","Rhodo",10.407,9.798,15.4964256565014,13.0471853576956,"N",-0.00491534186921243
"179","13-Mar-19","17-Apr-19",35,0,"0B","R159","Rhodo",8.551,7.985,8.84801731783636,7.27766529242615,"N",-0.00558237979585777
"180","13-Mar-19","17-Apr-19",35,0,"0B","R160","Rhodo",8.419,8.496,8.46388908638452,8.68661771114765,"N",0.000742139326714066
"181","13-Mar-19","17-Apr-19",35,3,"3C","R163","Rhodo",8.123,8.182,7.64227693039365,7.80171017244887,"N",0.000589925035020768
"182","13-Mar-19","17-Apr-19",35,3,"3C","R165","Rhodo",8.581,8.13,8.93686843054001,7.66108104207461,"N",-0.0044009182401657
"183","13-Mar-19","17-Apr-19",35,2,"2D","R185","Rhodo",9.749,9.22,12.8618905849202,10.9693033720828,"N",-0.00454765575880964
"184","13-Mar-19","17-Apr-19",35,2,"2D","R186","Rhodo",8.702,8.84,9.30111388893475,9.72814515203106,"N",0.00128254514793099
"185","13-Mar-19","17-Apr-19",35,2,"2D","R187","Rhodo",7.384,8.308,5.82154040196369,8.14939202201752,"N",0.00961081215269678
"186","13-Mar-19","17-Apr-19",35,2,"2D","R189","Rhodo",8.281,8.394,8.07405892350407,8.39238090042123,"N",0.00110479823551748
"187","13-Mar-19","17-Apr-19",35,2,"2D","R190","Rhodo",7.968,8.228,7.23354779453285,7.92750125393779,"N",0.00261737900438583
"188","13-Mar-19","17-Apr-19",35,1,"1D","R193","Rhodo",7.114,8.065,5.23458884006133,7.48762356554927,"N",0.0102275190159784
"189","13-Mar-19","17-Apr-19",35,1,"1D","R194","Rhodo",8.496,8.75,8.68661771114765,9.44823540312473,"N",0.00240126705534111
