"","trial","date.start","date.end","days","treatment","channel","chamber","species","mean_temp_C","AFDM_beg_mg","AFDM_end_mg","consumption.rate.mg.day","mean_microbe_consumption","consumption.bug.mg.day.mcorr","consumption.bug.mg.day.mcorr.modmasscorr","consumption.bug.mg.day.modmasscorr"
"75","CT1",2019-03-13,2019-03-21,8,2,"2D","A186","A",10.9487592592593,27.9184853,18.9000000000001,1.12731066249998,1.29812330833333,-0.170812645833349,-0.0221006832147707,0.145857677661949
"76","CT1",2019-03-13,2019-03-21,8,1,"1D","A193","A",10.1606574074074,38.4952558,31.9,0.824406975,0.466175610763885,0.358231364236115,0.0404262908386766,0.0930340541561761
"77","CT1",2019-03-13,2019-03-21,8,1,"1D","A194","A",10.1606574074074,38.4743117,34.2,0.534288962500004,0.466175610763885,0.0681133517361197,0.00650429799622585,0.0510204613283114
"78","CT1",2019-03-13,2019-03-21,8,1,"1D","A195","A",10.1606574074074,32.3167463,21.5000000000001,1.35209328749999,0.466175610763885,0.885917676736109,0.141692954041843,0.216252702792708
"79","CT1",2019-03-13,2019-03-21,8,1,"1D","A196","A",10.1606574074074,29.4055164,17.6999999999999,1.46318955,0.466175610763885,0.997013939236119,0.113231113533895,0.166174790078258
"80","CT1",2019-03-12,2019-03-20,8,2,"2A","R003","R",11.0764583333333,110.2889733,69.1999999999999,5.13612166250001,3.57925000312501,1.556871659375,0.205740611057141,0.678738547871556
"81","CT1",2019-03-12,2019-03-20,8,2,"2A","R004","R",11.0764583333333,79.6109828999999,55.6000000000001,3.00137286249998,3.57925000312501,-0.577877140625027,-0.0754290379539015,0.391762628496532
"82","CT1",2019-03-12,2019-03-20,8,2,"2A","R005","R",11.0764583333333,89.876925,55.1000000000002,4.34711562499999,3.57925000312501,0.76786562187498,0.0942672213600816,0.533674772285173
"83","CT1",2019-03-12,2019-03-20,8,2,"2A","R006","R",11.0764583333333,114.4832298,64.2,6.28540372499999,3.57925000312501,2.70615372187499,0.336262016672452,0.781013478681709
"84","CT1",2019-03-12,2019-03-20,8,2,"2A","R007","R",11.0764583333333,83.2460052,53.6999999999999,3.69325065000001,3.57925000312501,0.114000646875008,0.0161252528920399,0.522405813979614
"85","CT1",2019-03-12,2019-03-20,8,2,"2A","R008","R",11.0764583333333,118.4378145,84.7,4.2172268125,3.57925000312501,0.637976809374992,0.0682536690534291,0.451178160324687
"86","CT1",2019-03-12,2019-03-20,8,2,"2A","R009","R",11.0764583333333,145.800345,84.8,7.625043125,3.57925000312501,4.045793121875,0.541325352043961,1.02022743863831
"87","CT1",2019-03-12,2019-03-20,8,2,"2A","R010","R",11.0764583333333,111.3275511,66.4,5.61594388750001,3.57925000312501,2.036693884375,0.215057549927495,0.592995904903336
"88","CT1",2019-03-12,2019-03-20,8,0,"0C","R013","R",9.41552777777778,44.7786813,27.2999999999999,2.18483516250002,3.076214075,-0.891378912499985,-0.115453073743019,0.282983960687381
"89","CT1",2019-03-12,2019-03-20,8,0,"0C","R014","R",9.41552777777778,90.276378,57.8000000000001,4.05954724999999,3.076214075,0.983333174999986,0.153011868846171,0.63168713024641
"90","CT1",2019-03-12,2019-03-20,8,0,"0C","R015","R",9.41552777777778,58.7994816,37.4999999999999,2.66243520000002,3.076214075,-0.413778874999987,-0.0621493886477972,0.399896490593876
"91","CT1",2019-03-12,2019-03-20,8,0,"0C","R016","R",9.41552777777778,107.9721459,70.2999999999998,4.70901823750002,3.076214075,1.63280416250002,0.241298389142684,0.69590618473957
"92","CT1",2019-03-12,2019-03-20,8,4,"4D","R023","R",12.9171967592593,107.7324741,73.4999999999999,4.27905926250003,2.23314642534722,2.04591283715281,0.32268643836102,0.674903821842893
"93","CT1",2019-03-12,2019-03-20,8,4,"4D","R024","R",12.9171967592593,129.4627173,80.9,6.07033966250001,2.23314642534722,3.83719323715279,0.606351729569463,0.959232628107657
"94","CT1",2019-03-12,2019-03-20,8,4,"4D","R025","R",12.9171967592593,112.7256366,85.1000000000002,3.45320457499998,2.23314642534722,1.22005814965276,0.14010733283122,0.396554281336111
"95","CT1",2019-03-12,2019-03-20,8,4,"4D","R026","R",12.9171967592593,109.9694109,71.9,4.75867636250001,2.23314642534722,2.52552993715279,0.221881960648313,0.41807639096634
"96","CT1",2019-03-12,2019-03-20,8,3,"3D","R033","R",12.0110925925926,108.6911613,67.8000000000001,5.11139516249999,3.19753637708334,1.91385878541665,0.175354404027089,0.468323817460756
"97","CT1",2019-03-12,2019-03-20,8,3,"3D","R034","R",12.0110925925926,50.2911327,30,2.5363915875,3.19753637708334,-0.661144789583334,-0.0670570034404809,0.257255025055228
"98","CT1",2019-03-12,2019-03-20,8,3,"3D","R035","R",12.0110925925926,96.7075712999999,59.1000000000002,4.70094641249997,3.19753637708334,1.50341003541663,0.188045119673742,0.587989976050298
"99","CT1",2019-03-12,2019-03-20,8,3,"3D","R036","R",12.0110925925926,51.8090541000001,31.7000000000001,2.5136317625,3.19753637708334,-0.683904614583337,-0.0930179438628312,0.341879339882072
"100","CT1",2019-03-12,2019-03-20,8,0,"0A","R043","R",9.3579212962963,65.5901826,44.4,2.648772825,3.076214075,-0.427441250000007,-0.0582403041413634,0.360904182573337
"101","CT1",2019-03-12,2019-03-20,8,0,"0A","R044","R",9.3579212962963,59.6383329,36,2.9547916125,3.076214075,-0.121422462500008,-0.0134043203813462,0.326191485649221
"102","CT1",2019-03-12,2019-03-20,8,0,"0A","R045","R",9.3579212962963,63.4730817000001,42.4999999999999,2.62163521250003,3.076214075,-0.454578862499975,-0.0589814164147178,0.340156067322553
"103","CT1",2019-03-12,2019-03-20,8,0,"0A","R046","R",9.3579212962963,54.9647328000001,37.4999999999999,2.18309160000003,3.076214075,-0.893122474999978,-0.142306517230296,0.347844972091566
"104","CT1",2019-03-12,2019-03-20,8,0,"0D","R054","R",9.33682407407407,90.3962139,55.3999999999999,4.37452673750001,3.076214075,1.29831266250001,0.217035957272721,0.731279625864714
"105","CT1",2019-03-12,2019-03-20,8,0,"0D","R055","R",9.33682407407407,97.5464226,68.7,3.605802825,3.076214075,0.529588749999996,0.0538178733107656,0.366428931164894
"106","CT1",2019-03-12,2019-03-20,8,2,"2B","R063","R",11.1353611111111,67.8670647,55.3999999999999,1.55838308750001,3.57925000312501,-2.02086691562499,-0.360463220889396,0.277969708324948
"107","CT1",2019-03-12,2019-03-20,8,2,"2B","R064","R",11.1353611111111,103.458327,69.7,4.21979087500001,3.57925000312501,0.640540871875,0.0836967850318127,0.551382347718481
"108","CT1",2019-03-12,2019-03-20,8,2,"2B","R065","R",11.1353611111111,122.8317975,80.9,5.2414746875,3.57925000312501,1.66222468437499,0.209796268581354,0.66154825014802
"109","CT1",2019-03-12,2019-03-20,8,2,"2B","R066","R",11.1353611111111,101.9803509,66.8,4.39754386250001,3.57925000312501,0.818293859375002,0.104220510879424,0.560085185430183
"110","CT1",2019-03-12,2019-03-20,8,3,"3A","R073","R",11.9991203703704,128.1844677,74.4,6.7230584625,3.19753637708334,3.52552208541666,0.309641958077606,0.590477363681779
"111","CT1",2019-03-12,2019-03-20,8,3,"3A","R074","R",11.9991203703704,89.1179642999999,61.9000000000001,3.40224553749998,3.19753637708334,0.204709160416648,0.0228253200237813,0.379354509758438
"112","CT1",2019-03-12,2019-03-20,8,3,"3A","R075","R",11.9991203703704,96.0684465000001,60.2,4.4835558125,3.19753637708334,1.28601943541667,0.185240845892222,0.645820466191787
"113","CT1",2019-03-12,2019-03-20,8,3,"3A","R076","R",11.9991203703704,98.1855473999999,55.0999999999999,5.385693425,3.19753637708334,2.18815704791666,0.302557070361887,0.744681295196201
"114","CT1",2019-03-12,2019-03-20,8,2,"2C","R083","R",10.9445578703704,107.1732399,69.4000000000001,4.72165498749998,3.57925000312501,1.14240498437498,0.119414070872476,0.4935483046944
"115","CT1",2019-03-12,2019-03-20,8,2,"2C","R084","R",10.9445578703704,82.0476462,54.7,3.418455775,3.57925000312501,-0.160794228125003,-0.0298026829401726,0.633599568811175
"116","CT1",2019-03-12,2019-03-20,8,2,"2C","R085","R",10.9445578703704,96.5477901,66.6,3.7434737625,3.57925000312501,0.164223759374996,0.0192125259396171,0.437948729465376
"117","CT1",2019-03-12,2019-03-20,8,2,"2C","R086","R",10.9445578703704,157.2247008,98.1000000000001,7.3905876,3.57925000312501,3.81133759687499,0.504738622052384,0.978741690171977
"118","CT1",2019-03-12,2019-03-21,9,1,"1A","R093","R",10.378325,111.8068947,72.3,4.38965496666667,2.99119781111112,1.39845715555555,0.235925462508967,0.740552811469012
"119","CT1",2019-03-12,2019-03-21,9,1,"1A","R094","R",10.378325,107.9322006,72.1000000000001,3.98135562222222,2.99119781111112,0.9901578111111,0.135761932920531,0.545889280326308
"120","CT1",2019-03-12,2019-03-21,9,1,"1A","R095","R",10.378325,92.5133147999999,66.7,2.86814608888888,2.99119781111112,-0.123051722222233,-0.0210990970218446,0.491787449289
"121","CT1",2019-03-12,2019-03-21,9,1,"1A","R096","R",10.378325,64.9111125,43.1,2.42345694444444,2.99119781111112,-0.567740866666672,-0.0774267571060933,0.33050362094991
"122","CT1",2019-03-12,2019-03-20,8,4,"4C","R103","R",12.8358680555556,75.0172734,47.4000000000001,3.45215917499999,2.23314642534722,1.21901274965276,0.213220879014619,0.603826673676341
"123","CT1",2019-03-12,2019-03-20,8,4,"4C","R104","R",12.8358680555556,81.2087949,51.2000000000001,3.75109936249999,2.23314642534722,1.51795293715276,0.166741162032066,0.412043516826139
"124","CT1",2019-03-12,2019-03-20,8,4,"4C","R105","R",12.8358680555556,132.8181225,81.9000000000001,6.36476531249998,2.23314642534722,4.13161888715275,0.581038949046279,0.895091403420741
"125","CT1",2019-03-12,2019-03-20,8,4,"4C","R106","R",12.8358680555556,95.3494311,66.5,3.6061788875,2.23314642534722,1.37303246215277,0.165123141146277,0.433685001522658
"126","CT1",2019-03-12,2019-03-21,9,1,"1B","R113","R",10.1488875,105.1759749,61.2000000000001,4.88621943333331,2.99119781111112,1.89502162222219,0.247220788817131,0.637446564449077
"127","CT1",2019-03-12,2019-03-21,9,1,"1B","R114","R",10.1488875,101.061609,66.1999999999999,3.87351211111112,2.99119781111112,0.882314300000008,0.147992809566345,0.649713985382073
"128","CT1",2019-03-12,2019-03-21,9,1,"1B","R115","R",10.1488875,93.7516191000001,56.5000000000002,4.13906878888887,2.99119781111112,1.14787097777776,0.143446591904617,0.517249170786017
"129","CT1",2019-03-12,2019-03-21,9,1,"1B","R116","R",10.1488875,79.7308188,56.8,2.54786875555556,2.99119781111112,-0.443329055555556,-0.066382507286101,0.381508755427155
"130","CT1",2019-03-12,2019-03-21,9,1,"1C","R123","R",10.30695,129.9021156,77.1999999999999,5.85579062222224,2.99119781111112,2.86459281111112,0.449557490046444,0.918983851440523
"131","CT1",2019-03-12,2019-03-21,9,1,"1C","R124","R",10.30695,100.8219372,66.2,3.84688191111111,2.99119781111112,0.855684099999991,0.108961777360554,0.4898572853356
"132","CT1",2019-03-12,2019-03-21,9,1,"1C","R125","R",10.30695,147.1584852,90.9,6.25094280000001,2.99119781111112,3.25974498888889,0.353860357618827,0.678568680127582
"133","CT1",2019-03-12,2019-03-21,9,1,"1C","R126","R",10.30695,119.7560094,66.1000000000001,5.96177882222222,2.99119781111112,2.9705810111111,0.365869413331529,0.734278079587845
"134","CT1",2019-03-12,2019-03-21,9,3,"3B","R133","R",11.9828729166667,99.463797,64.3,3.90708855555555,3.19753637708334,0.709552178472212,0.0884253204148724,0.486906485380921
"135","CT1",2019-03-12,2019-03-21,9,3,"3B","R134","R",11.9828729166667,67.7472288,60.9,0.760803200000004,3.19753637708334,-2.43673317708333,-0.228127492699824,0.0712265618928979
"136","CT1",2019-03-12,2019-03-21,9,3,"3B","R135","R",11.9828729166667,80.5696701,55.3000000000001,2.80774112222221,3.19753637708334,-0.389795254861129,-0.0480585956783083,0.346171723948539
"137","CT1",2019-03-12,2019-03-21,9,3,"3B","R136","R",11.9828729166667,112.4460195,73.5000000000001,4.32733549999998,3.19753637708334,1.12979912291664,0.149223608478265,0.571553478231667
"138","CT1",2019-03-12,2019-03-21,9,4,"4B","R143","R",12.9893083333333,95.9885559,60.9999999999999,3.88761732222223,2.23314642534722,1.654470896875,0.142234076631656,0.334216613400655
